School,Overall_G,Overall_W,Overall_L,Overall_W-L%,Overall_SRS,Overall_SOS,Conf._W,Conf._L,Home_W,Home_L,Away_W,Away_L,Points_Tm.,Points_Opp.,Totals_MP,Totals_FG,Totals_FGA,Totals_FG%,Totals_3P,Totals_3PA,Totals_3P%,Totals_FT,Totals_FTA,Totals_FT%,Totals_ORB,Totals_TRB,Totals_AST,Totals_STL,Totals_BLK,Totals_TOV,Totals_PF
Abilene Christian,23,19,4,0.826,5.19,-8.08,11,2,12,0,4,4,1776,1397,920,634,1387,0.457,178,517,0.344,330,499,0.661,261,821,415,227,73,311,449
Air Force,23,5,18,0.217,-12.16,-0.33,3,16,3,8,1,9,1372,1644,920,485,1074,0.452,167,489,0.342,235,338,0.695,102,535,287,163,53,330,381
Akron,20,14,6,0.7,3.02,-1.54,12,5,9,1,5,4,1572,1432,805,544,1205,0.451,197,578,0.341,287,382,0.751,223,774,274,100,69,244,360
Alabama A&M,12,6,6,0.5,-17.65,-15.56,4,6,5,1,1,5,785,810,490,285,697,0.409,67,235,0.285,148,237,0.624,130,475,140,69,43,188,218
Alabama-Birmingham,25,19,6,0.76,5.13,-5,11,5,15,2,4,4,1842,1512,1000,693,1521,0.456,128,426,0.3,328,480,0.683,261,920,277,208,100,258,382
Alabama State,15,4,11,0.267,-23.45,-18.05,4,11,3,5,1,6,967,1048,600,304,800,0.38,89,278,0.32,211,325,0.649,167,519,144,87,38,219,275
Alabama,25,19,6,0.76,19.64,10.48,14,2,11,1,6,3,1990,1761,1000,684,1592,0.43,268,755,0.355,354,491,0.721,299,1009,354,211,103,356,474
Albany (NY),16,7,9,0.438,-3.45,-4.14,6,6,4,5,2,4,1110,1099,640,395,883,0.447,102,303,0.337,218,301,0.724,110,480,187,98,29,201,285
Alcorn State,16,6,10,0.375,-19.4,-10.4,6,5,4,3,2,7,1054,1198,640,338,851,0.397,84,290,0.29,226,306,0.739,155,468,135,115,23,214,313
American,9,4,5,0.444,-0.24,2.21,4,5,2,2,2,3,625,647,380,223,504,0.442,79,212,0.373,100,140,0.714,73,303,116,67,46,143,177
Appalachian State,24,13,11,0.542,-6.96,-5.86,7,8,9,4,4,7,1699,1539,975,585,1389,0.421,183,587,0.312,346,466,0.742,265,860,282,187,87,284,333
Arizona State,21,10,11,0.476,7.29,7.43,7,8,7,6,2,4,1601,1604,850,560,1273,0.44,157,465,0.338,324,443,0.731,167,677,280,150,75,226,417
Arizona,25,17,8,0.68,13.28,5.72,11,8,12,4,5,4,1892,1703,1010,643,1439,0.447,166,445,0.373,440,604,0.728,298,968,387,149,100,300,445
Little Rock,25,11,14,0.44,-5.51,-4.8,7,11,7,4,2,8,1726,1715,1010,614,1346,0.456,143,458,0.312,355,504,0.704,251,864,343,159,80,378,398
Arkansas-Pine Bluff,22,3,19,0.136,-22.72,-5.58,2,11,2,3,1,16,1347,1724,885,449,1187,0.378,111,360,0.308,338,461,0.733,212,699,210,142,88,358,399
Arkansas State,22,10,12,0.455,-7.61,-5.24,7,8,9,3,1,9,1611,1538,885,573,1266,0.453,139,367,0.379,326,448,0.728,240,809,323,146,63,288,348
Arkansas,24,19,5,0.792,18.3,6.05,11,4,15,1,4,4,1978,1684,965,705,1566,0.45,185,551,0.336,383,519,0.738,295,972,358,193,128,306,407
Army,19,11,8,0.579,4.22,5.38,7,7,4,4,5,3,1359,1319,765,504,1112,0.453,156,464,0.336,195,314,0.621,160,671,273,121,30,248,300
Auburn,25,12,13,0.48,10.22,9.22,6,10,7,5,3,7,1948,1923,1010,663,1513,0.438,228,694,0.329,394,558,0.706,321,983,375,161,154,406,452
Austin Peay,26,14,12,0.538,-6.1,-7.85,10,10,8,5,4,6,1940,1820,1050,706,1558,0.453,191,556,0.344,337,448,0.752,328,888,347,179,52,380,455
Ball State,20,9,11,0.45,-1.57,-0.02,7,8,6,4,3,7,1460,1491,805,516,1168,0.442,167,480,0.348,261,355,0.735,187,717,272,113,50,293,380
Baylor,19,18,1,0.947,24.87,3.66,10,1,9,0,6,1,1614,1211,760,596,1205,0.495,196,466,0.421,226,328,0.689,242,701,329,179,74,225,320
Bellarmine,19,13,6,0.684,-1.49,-6.2,10,3,6,4,7,2,1416,1234,760,535,1042,0.513,121,327,0.37,225,300,0.75,157,588,299,135,39,210,293
Belmont,27,24,3,0.889,5.15,-8.24,18,2,11,1,10,2,2218,1858,1085,814,1646,0.495,242,704,0.344,348,469,0.742,226,967,493,208,75,322,392
Binghamton,18,4,14,0.222,-11.34,-4.45,4,10,1,9,3,5,1178,1302,735,430,1039,0.414,156,472,0.331,162,241,0.672,191,642,199,90,55,250,307
Boise State,24,18,6,0.75,10.81,0.85,14,5,11,0,6,6,1835,1569,965,647,1418,0.456,185,545,0.339,356,482,0.739,225,863,330,160,65,275,406
